EICno,mzmed,rtmed,ACN_80_A1,ACN_80_A2,ACN_80_B1,ACN_80_B2,ACN_80_C1,ACN_80_C2,MeOH_80_A1,MeOH_80_A2,MeOH_80_B1,MeOH_80_B2,MeOH_80_C1,MeOH_80_C2
10892,470.1837028,820.01,1146.74585,1859.000488,2390.643555,1633.256958,3082.207031,3041.397217,1149.142822,892.753479,914.6703491,1147.855225,1131.226563,786.0670166
10908,470.6827545,820.01,521.0352783,882.1686401,1723.265137,973.1663208,2025.501343,1831.645752,452.6278381,509.6311035,634.2191162,420.472229,665.6208496,586.8099365
8585,413.2655682,820.0145,4856.291016,7329.220703,10414.17969,11143.23047,12792.66406,14201.05762,2294.539063,3244.637451,3373.590332,3030.897949,3449.198975,3400.985596
10932,471.1805265,820.0345,1716.928345,1728.021973,919.5152588,1739.299561,1904.822754,1717.896729,936.1315918,706.2496948,986.0322266,739.7058716,884.2492065,665.0771484
10837,468.6846515,820.067,716.0579834,1025.326782,1110.295044,1565.797119,1422.089233,1898.562988,442.0413208,529.0600586,532.5094604,311.9013062,493.0185242,593.9244385
17541,660.9008414,820.09,1336.837769,1093.425293,1094.785278,759.3496704,730.7814941,1442.854614,192.8790588,196.4713898,424.2227783,305.9704285,342.396759,176.8242035
16836,638.883598,820.1395,1256.840332,1146.387085,1941.982788,1596.157349,1688.08313,2021.03418,227.5714264,395.7193298,288.2854614,362.9936218,281.375,315.2857056
12566,514.1444861,820.1775,9345.581055,15534.05762,14747.47363,13666.68262,15519.67578,15336.53809,12081.88281,9933.166992,10743.16504,9416.123047,8829.297852,8794.283203
10873,469.6841468,820.196,815.7976685,1934.560303,2105.657715,1816.415894,2955.731689,2677.768555,538.0634766,799.0187988,813.7718506,573.6332397,819.3787231,410.1012573
18028,677.1724899,820.237,901.4859009,1058.010864,1396.380737,908.4331055,1014.152588,1347.081177,494.6485596,552.6953125,512.4974365,384.6263123,483.4381104,615.6689453
15806,606.0851235,820.243,19495.3418,8660.379883,7405.796875,7983.021484,7719.322754,7829.84082,7348.961426,7488.936035,9106.607422,5923.073242,5624.203125,4866.70752
15836,607.0836107,820.288,11139.11621,8139.345215,9474.541016,7334.671387,16584.83594,7813.757324,10746.35742,8429.870117,8763.458008,5990.562988,14104.46875,6724.355469
10187,451.3615697,820.315,949.3730469,1312.474487,1659.319946,1366.124268,1701.076782,1733.615967,697.5,995.9408569,806.3319702,916.4489746,838.0380859,827.5735474
15522,595.4336565,820.3185,4201.674316,3508.945068,8341.061523,7319.111816,9406.458984,6961.135742,3026.627441,3005.595703,3059.72876,2566.387695,3313.282471,2888.256836
20446,761.3362433,820.338,875.6885986,657.4852905,712.8503418,690.8284302,554.0449829,659.0576782,444.4462585,525.0048828,499.9842224,461.4401245,341.362915,408.3068237
15423,593.0867233,820.34,26427.86328,41314.91406,46673.96094,42411.44531,39874.16406,40000.72656,30324.14844,43369.01563,45837.29688,40540.41016,38940.25,37687.67578
7836,391.2842515,820.364,38608.24219,45452.78516,56013.82813,62640.43359,78511.66406,80029.5,10827.87109,14214.25098,13062.90723,11015.44727,14792.37305,13685.58789
4088,279.1592,820.373,1278.000122,1745.507935,2172.989014,1955.11377,2302.436279,2639.3125,625.2384644,736.2479858,1063.453491,796.6205444,711.1155396,918.4978027
16407,624.3512141,820.373,810.0073853,1049.059692,1068.442261,1012.697815,1243.687744,1085.666992,1354.223511,1490.805054,1480.55127,1664.683105,1838.238281,1851.843872
24323,998.7900184,820.377,285.1801147,642.0413208,457.7102661,661.1724243,382.0357056,624.173584,236.0499115,384.2747803,265.0953674,169.5391083,215.0298767,198.1457214
499,113.1321852,820.387,1345.045166,1437.029297,1256.734741,1215.453491,1801.716553,1775.501465,738.3461914,998.7762451,615.1184692,465.0383301,623.3738403,643.986084
7868,392.287539,820.418,10072.35645,12990.40039,16776.00977,15869.29785,20151.17188,21537.33203,3732.283203,3963.028809,3360.052246,3443.216309,4192.330078,4137.22998
12598,515.1424087,820.435,7016.003906,9464.770508,10535.13965,10023.39844,9586.861328,9810.988281,6023.72998,5860.884277,6759.128418,7390.763184,5635.098145,5419.29834
14577,566.1895062,820.4475,2906.361328,2241.107178,2619.469727,1917.001221,2373.751709,2587.4104,1823.810913,1442.338745,2185.919922,1354.342529,1724.547974,978.5549316
12862,521.1368357,820.461,66514.67188,45683.39063,83371.5625,21165.98047,35455.23828,37484.23438,36311.67578,28425.03906,24413.23047,23055.30664,19358.88477,18679.09375
8817,418.2435042,820.4725,1353.821777,2486.101074,3930.004639,4436.696289,3401.768311,3617.888916,1919.322388,2738.179688,2440.209717,2524.105469,2848.173584,2733.136963
1098,149.0234433,820.5265,22561.08594,26146.50586,35033.375,31322.96094,44485.45313,44595.71875,8675.710938,8023.605957,9852.636719,7511.88623,9442.004883,8195.34082
12921,522.2017255,820.531,1959.52356,2338.937256,2540.813232,1807.711304,2012.357788,1970.521606,1433.644531,1402.93811,1890.016724,1175.515259,1184.112915,1569.807373
12801,520.1395561,820.58,92438.30469,62586.40234,51291.44141,47952.98828,85554.98438,47989.78906,58104.46484,33138.85938,26032.81641,32093.27148,27006.19336,25512.86523
12016,500.684578,820.581,768.1119995,641.6807861,1220.682861,888.8525391,817.4545898,1185.950806,294.4698181,448.5447693,437.7266541,253.9212952,498.9258118,337.7565918
1462,164.0425738,820.633,1334.854248,1453.017822,1384.200317,1320.315186,1358.836548,1447.44165,988.2963257,878.2664185,831.9358521,733.3209839,779.0665894,1539.751465
16867,639.8924248,820.706,1677.654297,1189.040894,1406.984619,1443.164063,1420.545776,2093.843994,295.225769,343.3597107,396.7288818,226.3057861,268.9796143,322.4194946
22525,847.3267089,820.73,527.020813,610.6473389,682.0307007,684.8477783,702.7290649,893.2409668,278.5187378,232.9878998,278.3771973,258.6418152,280.0453796,247.2666473
1213,153.0551137,820.736,1653.000366,2224.387451,2735.897705,1679.478149,2719.182129,2522.723389,2063.124756,2303.083252,2451.508057,2123.814453,1896.09082,2831.620361
12912,522.136408,820.776,22436.24023,15534.43555,13653.51465,13305.15527,12432.94336,13242.56934,12967.04297,9578.069336,9967.750977,8728.325195,6557.23877,10818.14746
11628,490.2132711,820.7815,912.2200317,1005.673828,1047.524048,987.0007324,1339.662109,1368.705078,662.6760254,402.0015869,860.8162842,482.1955566,618.3269043,686.8494873
15401,592.0868562,820.7905,10007.45605,10752.53223,16460.22461,9886.875977,13745.36523,14745.68652,15495.18652,12567.94434,12968.62012,9508.614258,14207.86133,12090.49121
8077,399.3254187,820.796,33555.8125,15952.74902,9938.774414,6468.869629,5716.62207,4677.462402,10497.57422,8062.285156,4805.759766,3123.16626,3225.212646,2366.550049
1156,150.0267658,820.8115,2614.411621,2846.270752,3952.564453,3324.037598,3945.776367,4537.002441,931.0349121,1327.529541,977.4267578,1754.094971,1328.983765,1403.878784
11967,499.1843154,820.826,1268.015625,1274.046875,1601.628418,1626.11438,1964.224976,2178.366455,859.8632202,803.3693848,782.2449341,761.6264648,662.9780884,766.6699219
3989,274.045089,820.834,3865.402588,6660.989746,8954.508789,7042.986816,8668.427734,7507.359375,7510.469238,7708.25,7010.127441,6909.825195,5748.411621,6433.124512
6866,363.2000521,820.8405,864.0250244,758.578186,1478.035767,1411.743164,1074.011597,1076.188721,558.1102905,738.8875122,686.9021606,706.0234985,859.8928833,891.9313354
17244,651.0916971,820.841,18623.52344,12003.69531,2350.501221,9735.371094,8654.786133,8277.799805,7343.86084,7115.121582,8042.771484,5033.634277,6522.773926,5287.678711
13333,532.2116595,820.865,2132.268311,3489.771484,4405.666504,3558.375488,4396.186035,4962.811523,1335.10791,1625.883789,1179.720581,1012.975647,1472.205566,1262.993164
21409,800.5943038,820.873,1465.747925,1506.468994,1484.001953,2216.570068,364.8065796,1188.827759,355.1260986,459.9057922,603.9219971,784.5556641,798.3327026,649.4968872
607,121.0284947,820.879,2640.088135,2947.070313,4093.766602,3952.52417,5408.519531,5469.580078,3974.735107,4120.44043,3967.526367,3210.080811,3629.100586,3499.985352
15362,591.0850252,820.882,20439.55078,31268.45313,32598.56836,29135.35742,30705.82227,29684.78516,30460.65234,25891.47656,29542.12305,27406.51563,26963.06641,24711.98047
1422,163.0391024,820.912,7603.436035,9354.257813,12370.4668,10695.6543,13598.55566,14571.95605,3009.703613,3508.52417,3039.615479,3003.013184,3289.001709,3315.000977
14220,555.4799656,820.941,1034.669922,739.8451538,457.6281128,329.1362915,596.7443237,290.5203247,383.5562744,433.837616,268.6391907,314.5684204,289.8062134,243.845871
22561,849.3217496,820.964,398.902771,905.9263916,607.6035767,611.3876343,712.3287354,531.625,435.1274414,270.9220886,280.0426636,215,305.9393005,382.8930054
14186,554.4771462,820.9735,2323.133301,1348.902466,590.9329224,368.0046997,797.3466797,540.9507446,776.2846069,795.1375732,432.900177,345.4142456,338.8656311,268.7600708
8773,417.3360875,821.039,28835.68555,12610.46484,7078.515625,4460.694824,4517.351563,3527.900391,9917.904297,6821.428223,3694.72583,2417.946533,2040.124634,1469.123413
8620,414.2690288,821.16,1828.437256,2081.260742,3255.821777,3594.897217,3760.864014,4508.985352,1498.008423,1253.149902,1966.338501,957.3135986,1372.164429,1288.930298
23088,881.4885788,821.2625,787.1446533,843.7770996,1007.046082,1275.145508,1226.612549,1191.47937,270.5319214,302.6119385,401,343.9282532,493.8255005,448.271759
13494,536.4673293,821.293,1708.036011,535.5571899,616.0518188,559.1402588,617.2261963,701.7824097,613.7855225,827.022583,544.6383667,377.10849,336.6513977,291.0332031
13541,537.4707321,821.305,898.5454712,578.382019,368.9173584,442.7957458,375.5128174,449.4049988,420.6354675,368,393.2225342,377.5138855,398.0833435,352.3612671
17595,663.1558003,821.333,1163.585815,1257.105225,1532.535156,1402.901733,1492.390625,1637.920532,835.5022583,978.2322998,713.111145,693.2540283,662.2537842,684.5697632
12264,506.6930082,821.352,501.819458,779.2669067,661.175354,604.5986938,813.7521362,950.9763794,467.9696045,410.4519348,384.374176,578.8787231,452.3093567,332.631012
16208,617.8791214,821.355,568.4152832,1348.400513,1057.361572,1150.296387,1134.889648,1462.514526,196.2653503,270.2730713,303.6743164,220.2419891,289.3789368,223.5734711
16070,613.3832084,821.3745,764.1049805,517.9667969,946.2247314,706.5983887,707.4912109,1036.945435,490.3687744,439.7202454,358.5975647,452.0006714,350.265625,464.5762329
16100,614.3839947,821.391,482.5170593,895.9486084,669.5513306,1011.192505,737.1489868,850.7362061,295.4382019,407.3897095,510.0395203,377.2565308,408.6643677,316.0226135
12715,518.2335077,821.406,1049.55481,714.0782471,1144.019409,1266.62207,1144.94812,1315.723267,536.8862305,540.7511597,667.3428345,597.4705811,631.3861084,583.1452026
1967,181.0498991,821.412,3064.391602,3610.161377,2909.654053,3880.216797,4885.358887,5078.177734,2819.245605,2226.477539,2254.758789,788.0358276,2098.266602,2121.134277
8678,415.2704128,821.419,1149.045044,1057.784546,1209.899658,1379.569336,865.9407959,1466.250854,730.9586182,740.4873047,713.9262695,585.276123,834.1953735,962.1740723
15341,590.2760103,821.438,825.8800049,1234.45459,1367.871704,953.5057373,941.6375732,1160.732178,390.5619202,521.1000977,380.1272583,436.7868958,440.1185303,646.6485596
10148,450.3580855,821.453,2854.064209,3783.343262,3740.090332,4307.292969,4474.427246,5289.375977,2155.455566,2361.42334,2094.050537,2240.553223,1128.711182,2640.583496
11845,496.2076904,821.5575,957.392334,1649.345215,929.5997925,1396.440186,1561.692505,1516.881226,1007.840088,687.8369751,1581.375854,761.1206055,1264.992432,1134.894775
7460,381.3153476,821.5685,7840.556641,3752.965088,2214.124756,1712.166016,1290.399292,1610.740112,2481.038818,1868.94751,1056.457275,922.3092041,1181.076782,965.2415161
6917,365.2021567,821.574,824.2658081,1004.950134,853.4556274,1066.817993,1159.103394,824.4406738,439.7772217,560.7344971,561.4047852,479.2071533,1045.669434,926.836731
9580,436.3433201,821.61,3513.833984,1824.93396,1603.344604,1190.223633,1529.148926,1230.092285,1098.982544,1049.294922,723.7457886,451.6643982,521.1612549,461.2351379
19199,716.2292841,821.716,6417.389648,4602.929688,4454.006836,3671.04126,3823.299316,3805.546143,3999.594482,4354.569336,4078.109863,3754.015625,4190.671387,3497.670898
10760,466.5351321,821.728,374.8474121,299.1367798,342.3854675,426.4794617,291.2192078,414.6295776,244.5471954,481.1212158,481.4827271,287.5379944,367.3049316,291.5102539
16237,618.8825396,821.751,727.9324951,1191.560913,1234.695801,1346.068726,2058.220947,2116.056885,252.0475311,253.0056458,268.8156128,238.9729767,397,233.9512329
22566,849.5821777,821.827,2539.962158,3572.655518,2812.598145,3488.858398,3219.906982,3692.537354,607.0645142,643.1976929,754.906189,840.7214966,892.3269043,745.0166626
11731,493.2091732,821.828,4537.374512,6262.012207,7347.304199,8758.008789,8807.250977,7118.938965,2211.189453,4340.112305,3265.147949,2911.254883,4032.080078,3533.625977
11662,491.2078562,821.831,4721.222656,6589.203613,8305.277344,8110.543457,10534.99512,9878.766602,9211.18457,3190.782715,3214.834229,2894.796875,4424.907715,7460.420898
14874,574.1473884,821.833,9169.325195,4866.349121,4930.910645,3967.433594,5319.049316,5489.976563,3734.428955,3541.860352,5022.383301,3207.528076,3490.361084,3394
11766,494.2107873,821.84,1537.805054,1898.061768,2800.992432,4691.067383,3104.222412,6020.475098,3017.962158,1408.249878,1072.860596,2547.007568,1429.063232,730.3463135
21287,795.4564176,821.841,1667.536011,2017.383301,923.0387573,2018.680298,1957.477295,2118.760986,475.9887085,470.2226563,584.255188,698.7750854,470.5296631,605.9562988
15405,592.2782347,821.865,651.5599976,855.1697998,1274.924561,1483.397583,1675.890015,1335.019409,784.2080688,1033.470337,761.9602661,426.1142883,982.6195068,734.477417
19253,718.2264436,821.877,3945.008057,3448.77002,3078.496582,2831.047852,2129.015625,2347.417236,2191.260498,2634.193359,2348.573486,1994.700928,2828.875977,1977.673584
21378,799.5903981,821.879,1237.102417,1450.650879,1623.584229,1772.230225,1293.931641,587.0014648,401.9138184,427.0262756,461.3518372,759.788208,626.0056152,460.1957092
